,TF-IDF
placed,0.0
placebo,0.0
pl,0.0
pivots,0.0
pkgs,0.0
pka,0.0
pk,0.0
pizzas,0.0
pizza,0.0
pixels,0.0
pixel,0.0
pixe,0.0
pipetting,0.0
pipettes,0.0
pipetter,0.0
pimozide,0.0
pinenuts,0.0
pineapple,0.0
pine,0.0
pinched,0.0
pinch_xd_,0.0
pinch,0.0
pin_xd_,0.0
pin,0.0
pimento,0.0
pinholes,0.0
pilot,0.0
pilocarpine,0.0
pillsbury,0.0
pills,0.0
pillow,0.0
pilling,0.0
pill,0.0
pilaf,0.0
pinhole,0.0
pinion,0.0
pipetted,0.0
pioglitazone,0.0
pipette,0.0
pipet,0.0
piperonyl,0.0
piperacillin,0.0
pipeline,0.0
pipe,0.0
pip,0.0
pioneer,0.0
pinula,0.0
pink,0.0
pints,0.0
pinto,0.0
pint,0.0
pins,0.0
pinpoint,0.0
pinon,0.0
pinning,0.0
pinnacle,0.0
phlebitis,0.0
philips,0.0
planar,0.0
philippines,0.0
person,0.0
persistent,0.0
perseus,0.0
persantine,0.0
perrigo,0.0
perphenazine,0.0
perpetually,0.0
perpendicular,0.0
peroxide,0.0
peroxidase,0.0
perouse,0.0
perouk,0.0
perogies,0.0
permitting,0.0
permitted,0.0
permits,0.0
permit,0.0
permissions,0.0
permission,0.0
persona,0.0
personal,0.0
personalized,0.0
pessaries,0.0
petals,0.0
petal,0.0
pet,0.0
pesto,0.0
pesticides,0.0
pesticide,0.0
pest,0.0
pessary,0.0
pervasive,0.0
personnel,0.0
pertussis,0.0
perturbed,0.0
pertinent,0.0
pertains,0.0
pertaining,0.0
persuader,0.0
perspective,0.0
persons,0.0
permissible,0.0
permethrin,0.0
permeation,0.0
performed,0.0
periloc,0.0
pericardial,0.0
periarticular,0.0
perhaps,0.0
perfusion_xd_,0.0
perfusion,0.0
performs,0.0
performing,0.0
performance_xd_,0.0
perinatal,0.0
performance,0.0
performa,0.0
perform,0.0
perforations,0.0
perforation,0.0
perforated,0.0
perforate,0.0
perfluorooctanoic,0.0
perimeter,0.0
period,0.0
permeability,0.0
peristepping,0.0
permanently,0.0
permanent,0.0
perma,0.0
perluorooctanesulfonic,0.0
perkinelmer,0.0
perivision,0.0
peritonitis,0.0
peritoneal,0.0
peristaltic,0.0
periodic,0.0
periprosthetic,0.0
periphery,0.0
peripherals,0.0
peripheral,0.0
perioscopy,0.0
perioperative,0.0
periods,0.0
periodically,0.0
petcare,0.0
petersburg,0.0
petfine,0.0
phbr,0.0
phenobartbital,0.0
phenobarbital,0.0
pheno,0.0
phenindione,0.0
phencyclidine,0.0
pheasants,0.0
pheasant,0.0
phd,0.0
phases,0.0
phenolphthalein,0.0
phasein,0.0
phased,0.0
phase,0.0
pharos,0.0
pharmguard,0.0
pharmdxtm,0.0
pharmavite,0.0
pharmasource,0.0
phenol,0.0
phenomenon,0.0
pharmanaaturals,0.0
phenylketonuric,0.0
philip,0.0
phil,0.0
phibro,0.0
pheresis,0.0
pheon,0.0
phenytoin,0.0
phenylphenol,0.0
phenylketonurics,0.0
phenylketonuria,0.0
phenotype,0.0
phenylephrine,0.0
phenylalanine,0.0
phenyl,0.0
phentolamine,0.0
phentolamide,0.0
phenotyping,0.0
phenotypic,0.0
phenotype_xd_,0.0
pharmanex,0.0
pharmacy,0.0
petg,0.0
pfos,0.0
pgg,0.0
pgcl,0.0
pga,0.0
pg,0.0
pft,0.0
pfsi,0.0
pfs,0.0
pfrt,0.0
pfoa,0.0
pgm,0.0
pfm,0.0
pfj,0.0
pfizer,0.0
pf,0.0
pets,0.0
petroleum,0.0
petrem,0.0
petite,0.0
pgla,0.0
pgr,0.0
pharmacokinetic,0.0
phantom,0.0
pharmacists,0.0
pharmacist,0.0
pharmacies,0.0
pharmaceuticals,0.0
pharmaceutical,0.0
pharma,0.0
pharm,0.0
phantoms,0.0
phalanx,0.0
pgs,0.0
phagocytophilum,0.0
phaenocomae,0.0
phadia,0.0
phacoemulsion,0.0
phacoemulsification,0.0
pha,0.0
ph,0.0
pgy,0.0
plan,0.0
planer,0.0
plane,0.0
possess,0.0
ports,0.0
portrait,0.0
portobello,0.0
portland,0.0
portions,0.0
portioned,0.0
portion,0.0
portio,0.0
porting,0.0
portholes,0.0
portex,0.0
portegra,0.0
portales,0.0
portal,0.0
portable,0.0
port,0.0
porridge,0.0
porphyria,0.0
porous,0.0
portugal,0.0
portuguese,0.0
pos,0.0
positioner,0.0
positons,0.0
positivity,0.0
positives,0.0
positively,0.0
positive,0.0
positions,0.0
positioning_xd_,0.0
positioning,0.0
positioned,0.0
pose,0.0
positional,0.0
position,0.0
posirest,0.0
posing,0.0
posiflush,0.0
posiboard,0.0
poses,0.0
posed,0.0
porosity,0.0
pork,0.0
pores,0.0
ponceau,0.0
pop,0.0
poorly,0.0
poor,0.0
pooling,0.0
pooled,0.0
pool,0.0
pontics,0.0
pondhopper,0.0
ponce,0.0
popchips,0.0
pomegranate,0.0
pom,0.0
polyvinyl,0.0
polyurethane,0.0
polytetrafluroethylene,0.0
polytetrafluoroethylene,0.0
polystyrene,0.0
polysorbate,0.0
poparoon,0.0
popcorn,0.0
pore,0.0
populate,0.0
porcine,0.0
porcelain,0.0
por,0.0
popup,0.0
populations,0.0
population,0.0
populates,0.0
populated,0.0
populat,0.0
poplok,0.0
popsicle,0.0
pops,0.0
poppyseed,0.0
poppy,0.0
popping,0.0
poppers,0.0
popped,0.0
popocatepetl,0.0
positron,0.0
possessing,0.0
perfectly,0.0
possession,0.0
powerled,0.0
powerjacket,0.0
powering,0.0
powerglide,0.0
powerflex,0.0
powered,0.0
powercross,0.0
powerberry,0.0
power,0.0
powders,0.0
powdered,0.0
powder_xd_,0.0
powder,0.0
povidone,0.0
poured,0.0
pour,0.0
pounds,0.0
pound,0.0
poultry,0.0
powerlink,0.0
powerloc,0.0
powerpicc,0.0
ppm,0.0
practitioner,0.0
practices,0.0
practice,0.0
practical,0.0
pr,0.0
pq,0.0
ppt,0.0
pps,0.0
ppk,0.0
powerport,0.0
pph,0.0
ppeak,0.0
ppb,0.0
ppatient,0.0
pp,0.0
pozole,0.0
powerwand,0.0
powers,0.0
poughkeepsie,0.0
pouches_xd_,0.0
pouches,0.0
postmarketing,0.0
potassium,0.0
pot,0.0
posts,0.0
postponing,0.0
postponement,0.0
postoperatively,0.0
postoperative,0.0
postmenopausal,0.0
postmarket,0.0
potatoes,0.0
posterolateral,0.0
posterior,0.0
poster,0.0
posted,0.0
post,0.0
possibly,0.0
possible,0.0
possibility,0.0
potato,0.0
potct,0.0
pouched,0.0
poti,0.0
pouch,0.0
potting,0.0
potters,0.0
potter,0.0
pototoes,0.0
potomac,0.0
potoatoes,0.0
potiential,0.0
potentiometers,0.0
pote,0.0
potentially_xd_,0.0
potentially,0.0
potentiall,0.0
potential_xd_,0.0
potentia,0.0
potentail,0.0
potent,0.0
potency,0.0
polysiloxane,0.0
polysaccharide,0.0
polypvac,0.0
polyps,0.0
plosive,0.0
pliers,0.0
pliable,0.0
plga,0.0
plexiglass,0.0
pleuravideoscope,0.0
pleural,0.0
plethysmography,0.0
plesiomonas,0.0
plegiox,0.0
pleasure,0.0
please,0.0
pleasant,0.0
plc,0.0
plaza,0.0
playing,0.0
playback,0.0
play,0.0
plavix,0.0
plots,0.0
plotted,0.0
plow,0.0
plums,0.0
pma,0.0
pm,0.0
plus_xd_,0.0
plus,0.0
pluralibacter,0.0
pluots,0.0
plunger,0.0
plumset,0.0
plume,0.0
plt,0.0
plumbing,0.0
plum,0.0
plugs,0.0
plugging,0.0
pluggers,0.0
plugged,0.0
plug,0.0
plu,0.0
platters,0.0
platter,0.0
platinum,0.0
plantarum,0.0
plasmid,0.0
plasmapheresis,0.0
plasmacell,0.0
plasma,0.0
plarail,0.0
plaques,0.0
plaque,0.0
plantation,0.0
plant,0.0
plasticizer,0.0
plans,0.0
planning,0.0
planner,0.0
planned,0.0
planing,0.0
planetary,0.0
planet,0.0
planes,0.0
plastic,0.0
plastics,0.0
platinium,0.0
plateletphersis,0.0
plating,0.0
platforms,0.0
platform,0.0
plates,0.0
platen,0.0
plateltpheresis,0.0
platelets,0.0
plateletphresis,0.0
plateletpheresis,0.0
plasty,0.0
plateletphereis,0.0
plateletepheresis,0.0
platelet,0.0
platelepheresis,0.0
plated,0.0
plateau,0.0
plate,0.0
plat,0.0
pmda,0.0
pmma,0.0
pmr,0.0
polluted,0.0
polybag,0.0
polyaxial_xd_,0.0
polyaxial,0.0
polyamide,0.0
polyacetal,0.0
poly,0.0
polocaine,0.0
polly,0.0
pollock,0.0
polycarbonate,0.0
pollen,0.0
pollack,0.0
polishing,0.0
polishers,0.0
polished,0.0
polish,0.0
poligny,0.0
polestar,0.0
polybags,0.0
polycarbophil,0.0
pole,0.0
polyisoprene,0.0
polypropylene,0.0
polyproplyene,0.0
polyprophylene,0.0
polymorph,0.0
polymethylmethacrylate,0.0
polymers,0.0
polymerize,0.0
polymer,0.0
polyimide,0.0
polycentric,0.0
polyglactin,0.0
polyflux,0.0
polyethylene,0.0
polyester,0.0
polydimethylsiloxane,0.0
polydiaxanone,0.0
polycythemia,0.0
polycyclic,0.0
poles,0.0
polarstem,0.0
pn,0.0
pneumoperitoneum,0.0
poas,0.0
po,0.0
pnu,0.0
pngy,0.0
pngbroken,0.0
pneumovax,0.0
pneumothorax,0.0
pneumophila,0.0
pneumopericardial,0.0
pocahontas,0.0
pneumoniae,0.0
pneumonia,0.0
pneumoliner,0.0
pneumograph,0.0
pneumocephalus,0.0
pneumatic,0.0
pnc,0.0
pna,0.0
poc,0.0
pocket,0.0
polarizer,0.0
pointier,0.0
polarity,0.0
polaris,0.0
polar,0.0
polacrilex,0.0
poke,0.0
poisoning,0.0
points,0.0
pointing,0.0
pointers,0.0
pockets,0.0
pointer,0.0
pointed,0.0
pointe,0.0
point,0.0
poi,0.0
poducts,0.0
pods,0.0
pod,0.0
perfix,0.0
perfection,0.0
praline,0.0
oxycodone,0.0
owners,0.0
owner,0.0
owned,0.0
own,0.0
owi,0.0
owensville,0.0
owens,0.0
ovoid,0.0
ovine,0.0
overwritten_xd_,0.0
overwritten,0.0
overwrite,0.0
overwrapped,0.0
overwrap,0.0
overweight,0.0
overvoltage,0.0
overvi,0.0
overuse,0.0
overtreatment,0.0
oww,0.0
ox,0.0
oxacillin,0.0
oximeter,0.0
oxybenzone,0.0
oxy,0.0
oxsf,0.0
oxnard,0.0
oxin,0.0
oximetry,0.0
oximeters,0.0
oximeter_xd_,0.0
oxidized,0.0
oxalate,0.0
oxidize,0.0
oxides,0.0
oxide_xd_,0.0
oxide,0.0
oxidative,0.0
oxidation,0.0
oxford,0.0
oxcarbazepine,0.0
overtime,0.0
overtightening,0.0
overtightened_xd_,0.0
overheats,0.0
overloaded,0.0
overload,0.0
overlays,0.0
overlay,0.0
overlapped,0.0
overlap,0.0
overlaid,0.0
overinfusion,0.0
overheating,0.0
overly,0.0
overheated,0.0
overheat,0.0
overhead,0.0
overhang,0.0
overflows,0.0
overflow,0.0
overfilling,0.0
overfilled,0.0
overloading,0.0
overlying,0.0
overthrow,0.0
overseals,0.0
overt,0.0
overstress,0.0
overstated,0.0
oversized,0.0
oversize,0.0
oversight,0.0
overshoot,0.0
oversensitivity,0.0
overseal,0.0
overnight,0.0
overrun,0.0
overriding,0.0
overrides,0.0
override,0.0
overridden,0.0
overpressure,0.0
overpouched,0.0
overpouch,0.0
oxybutynin,0.0
oxygen,0.0
pamphlet,0.0
oxygenation,0.0
painpro,0.0
painful,0.0
pain,0.0
pails,0.0
paige,0.0
paid,0.0
pai,0.0
pagewriter,0.0
pages,0.0
page,0.0
pafco,0.0
paenibacillus,0.0
paecilomyces,0.0
pae,0.0
pads,0.0
paddock,0.0
paddles,0.0
paddle,0.0
padding,0.0
painsmart,0.0
paint,0.0
pair,0.0
pall,0.0
paltop,0.0
palmyra,0.0
palmitate,0.0
palmas,0.0
palm,0.0
pallidum,0.0
pallets,0.0
pallet,0.0
paleo,0.0
paired,0.0
pale,0.0
pal,0.0
paks,0.0
pak,0.0
pajunk,0.0
pairwise,0.0
pairs,0.0
pairing,0.0
padded,0.0
padano,0.0
pad_xd_,0.0
pa,0.0
pacific,0.0
pacer,0.0
pacemakers,0.0
pacemaker,0.0
pace,0.0
pacakge,0.0
pac,0.0
pab,0.0
ozurdex,0.0
pack,0.0
ozone,0.0
oz,0.0
oysters,0.0
oyster,0.0
oxytocin,0.0
oxytetracycline,0.0
oxygenators,0.0
oxygenator,0.0
pacing,0.0
package,0.0
pad,0.0
packge,0.0
pacs,0.0
pacoima,0.0
paco,0.0
paclitaxel,0.0
packslabeled,0.0
packs_xd_,0.0
packs,0.0
packing,0.0
packets,0.0
packaged,0.0
packet,0.0
packer,0.0
packed,0.0
packaging_xd_,0.0
packaging,0.0
packages,0.0
packager,0.0
packaged_xd_,0.0
overfill,0.0
overexposed,0.0
overestimation,0.0
overestimates,0.0
osakana,0.0
osage,0.0
os,0.0
oryzae,0.0
orthpaedics,0.0
orthosoft,0.0
orthoscan,0.0
orthos,0.0
orthopedics,0.0
orthopedic,0.0
orthopediatrics,0.0
orthopat,0.0
orthopantomograph,0.0
orthopaedics_xd_,0.0
orthopaedics,0.0
orthopaedic,0.0
orthofix,0.0
orthodox,0.0
orthodontist,0.0
osamu,0.0
oscillating,0.0
oscillometric,0.0
osr,0.0
ostase,0.0
ostarine,0.0
ossur,0.0
ossification,0.0
osseotite,0.0
osseocare,0.0
oss,0.0
osrx,0.0
osom,0.0
oscor,0.0
osms,0.0
osmotic,0.0
osmosis,0.0
osmolarity,0.0
oskri,0.0
osher,0.0
osha,0.0
oseeocare,0.0
orthodontic,0.0
orthocord,0.0
orthobiologics,0.0
orhto,0.0
origin,0.0
origen,0.0
orifice,0.0
oriented,0.0
orientations,0.0
orientation,0.0
oriental,0.0
orient,0.0
organs,0.0
originally,0.0
organizer,0.0
organization,0.0
organisms,0.0
organism,0.0
organics,0.0
organic_xd_,0.0
organic,0.0
organ,0.0
original,0.0
originate,0.0
ortho_x_s,0.0
orocam,0.0
ortho,0.0
ortega,0.0
ort,0.0
ors,0.0
orrington,0.0
orphenadrine,0.0
orotate,0.0
oropharyngeal,0.0
oro,0.0
originated,0.0
ornithine,0.0
ormco,0.0
orlando,0.0
orion,0.0
origo,0.0
origination,0.0
originating,0.0
originated_xd_,0.0
osteogenesis,0.0
osteogenics,0.0
osteolock,0.0
outs,0.0
ovar,0.0
oval,0.0
ov,0.0
outward,0.0
outside,0.0
outset,0.0
outserts,0.0
outsert,0.0
outrigger,0.0
ovd,0.0
outrageous,0.0
outputs,0.0
output_xd_,0.0
output,0.0
outpost,0.0
outlook,0.0
outlines,0.0
outlined,0.0
ovation,0.0
oven,0.0
outliers,0.0
overcurrent,0.0
overestimated,0.0
overestimate,0.0
overdue,0.0
overdose,0.0
overdosage,0.0
overdoese,0.0
overdenture,0.0
overdelivery,0.0
overcorrection,0.0
ovens,0.0
overconsumption,0.0
overcome,0.0
overcharge,0.0
overcap,0.0
overcame,0.0
overbalancing,0.0
overall,0.0
over,0.0
outline,0.0
outlier,0.0
osteomyelitis,0.0
other,0.0
otw,0.0
ottoman,0.0
otto,0.0
otologic,0.0
oto,0.0
otherwise,0.0
others,0.0
other_xd_,0.0
otc,0.0
ouie,0.0
osteovation,0.0
osteotomy,0.0
osteosynthesis,0.0
osteosponge,0.0
osteosheath,0.0
osteoselect,0.0
osteosclerosis,0.0
osteoporosi,0.0
ou,0.0
ounce,0.0
outlets,0.0
outbreaks,0.0
outlet,0.0
outgassing,0.0
outflow,0.0
outer_xd_,0.0
outer,0.0
outdated,0.0
outcomes,0.0
outcome,0.0
outbreak,0.0
ounces,0.0
outbound,0.0
outages,0.0
outage,0.0
out,0.0
ous,0.0
ours,0.0
our_xd_,0.0
our,0.0
pamoate,0.0
pan,0.0
perfect,0.0
peeling,0.0
pecan,0.0
pec,0.0
peas_xd_,0.0
peas,0.0
pearson,0.0
pears,0.0
pearl,0.0
pear,0.0
peanuts,0.0
peanut,0.0
peaks,0.0
peak,0.0
peaches,0.0
peach,0.0
peacans,0.0
pea,0.0
pe,0.0
pds,0.0
pdp,0.0
pecans,0.0
pecas,0.0
pecorino,0.0
pediatric,0.0
peelable,0.0
peel,0.0
peek,0.0
pedigree,0.0
pedig,0.0
pedicle_xd_,0.0
pedicle,0.0
pediatrics,0.0
pediasure,0.0
pectin,0.0
pedi,0.0
pedfuse,0.0
pedestal,0.0
peddlers,0.0
pedals,0.0
pedal,0.0
ped,0.0
peculiar,0.0
pdoduct,0.0
pdms,0.0
pdm_x_s,0.0
paykel,0.0
pcb,0.0
pcal,0.0
pca,0.0
pc,0.0
pbs,0.0
pbnp,0.0
pbc,0.0
pb,0.0
payback,0.0
pcbs,0.0
pay,0.0
paxwire,0.0
pausing,0.0
paused,0.0
pause_xd_,0.0
pause,0.0
paucimobilis,0.0
pau,0.0
pcba,0.0
pcd,0.0
pdm,0.0
pcw,0.0
pdi,0.0
pdf,0.0
pde,0.0
pdds,0.0
pdd,0.0
pdc,0.0
pdb,0.0
pd,0.0
pcvdbsrv,0.0
pche,0.0
pcv,0.0
pcu,0.0
pcs,0.0
pcr,0.0
pcp,0.0
pco,0.0
pcnb,0.0
pcli,0.0
peeled,0.0
peened,0.0
panacea,0.0
peep,0.0
peptide,0.0
pepsico,0.0
pepsi,0.0
peppers,0.0
pepperoni,0.0
peppermint,0.0
pepperidge,0.0
peppered,0.0
peppercorns,0.0
pepper,0.0
pepitas,0.0
pepino,0.0
peoples,0.0
people,0.0
penzeys,0.0
penumbra,0.0
pentrexyl,0.0
pentrexcilina,0.0
pentra,0.0
peptides,0.0
pepto,0.0
peptostreptococcus,0.0
perch,0.0
perez,0.0
perennial,0.0
percuvance,0.0
percutaneous,0.0
percocet,0.0
percoba,0.0
percist,0.0
percha,0.0
perceval,0.0
per,0.0
percepta,0.0
percept,0.0
percentile,0.0
percentages,0.0
percentage,0.0
percent,0.0
perceived,0.0
perborate,0.0
pentobarbital,0.0
pentips,0.0
pentero,0.0
pellets,0.0
pendant,0.0
pencils,0.0
pencil,0.0
pen,0.0
pem,0.0
pelton,0.0
peltier,0.0
pelliculosa,0.0
pelleted,0.0
pendent,0.0
pellet,0.0
pegylated,0.0
pegs,0.0
pegless,0.0
pegasus,0.0
peg,0.0
peformance,0.0
peepers,0.0
pendants,0.0
pending,0.0
pentax,0.0
penile,0.0
pentaray,0.0
pens,0.0
pennsylvania,0.0
penne,0.0
penn,0.0
penlon,0.0
penlase,0.0
penis,0.0
penicilloides,0.0
pending_xd_,0.0
penicillium,0.0
penicillioides,0.0
penicillin,0.0
penetration,0.0
penetrating,0.0
penetrated,0.0
penetrate,0.0
pendula,0.0
patulin,0.0
patty,0.0
patties,0.0
patterns,0.0
parameterization,0.0
parameter,0.0
paramed,0.0
paralyzing,0.0
paralysis,0.0
parallelogram,0.0
parallel,0.0
parakeets,0.0
parainfluenza,0.0
parahaemolyticus,0.0
paragon,0.0
paraflu,0.0
paraffin,0.0
paradoxus,0.0
paradigm,0.0
parade,0.0
paracetamol,0.0
parabens,0.0
para,0.0
parameters,0.0
parameters_xd_,0.0
parapost,0.0
paricalcitol,0.0
parmesan,0.0
parkway,0.0
parks,0.0
parkers,0.0
parker,0.0
parked,0.0
park,0.0
parietex,0.0
parfaits,0.0
parasite,0.0
parfait,0.0
parenterally,0.0
parenteral,0.0
parent,0.0
pareils,0.0
parbake,0.0
parathyroid,0.0
parastomal,0.0
par,0.0
paqs,0.0
paq,0.0
panel,0.0
panitem,0.0
paninis,0.0
panini,0.0
panic,0.0
panettone,0.0
panels,0.0
panela,0.0
panel_xd_,0.0
paneer,0.0
panning,0.0
panda,0.0
pancrelipase,0.0
pancreatin,0.0
pancreatic,0.0
pancakes,0.0
pancake,0.0
panasonic,0.0
panang,0.0
panko,0.0
panorama,0.0
paprika,0.0
papain,0.0
papp,0.0
papoose,0.0
paperwork,0.0
paper,0.0
papayas,0.0
papaya,0.0
papaverine,0.0
papas,0.0
papa,0.0
panoramic,0.0
panzanella,0.0
pantry,0.0
pantoprazole,0.0
pantoea,0.0
panthera,0.0
panther,0.0
panta,0.0
pans,0.0
parmigiano,0.0
parmmesan,0.0
paroxetine,0.0
pasting,0.0
pate,0.0
patchouli,0.0
patches,0.0
patch,0.0
pasv,0.0
pasture,0.0
pastry,0.0
pastries,0.0
pastillage,0.0
patellae,0.0
pastian,0.0
pasteurmatic,0.0
pasteurizing,0.0
pasteurizer,0.0
pasteurized,0.0
pasteurization,0.0
pasteur,0.0
pastelillos,0.0
patella,0.0
patello,0.0
pasta,0.0
paticulate,0.0
pattern,0.0
patrol,0.0
patriot,0.0
patients_x_,0.0
patients,0.0
patient_xd_,0.0
patient_x_s,0.0
patient,0.0
pati,0.0
patency,0.0
pathway,0.0
pathology,0.0
pathological,0.0
pathogens,0.0
pathogenic,0.0
pathogen,0.0
pathfinder,0.0
path,0.0
paste,0.0
past,0.0
parpsilosis,0.0
participated,0.0
particules,0.0
particulates,0.0
particulate,0.0
particularly,0.0
particular_xd_,0.0
particular,0.0
particles,0.0
particle,0.0
partials,0.0
partner,0.0
partially_xd_,0.0
partially,0.0
partial,0.0
parti,0.0
part,0.0
parsnips,0.0
parsley,0.0
parse,0.0
parties,0.0
partners,0.0
passport,0.0
passed,0.0
passive,0.0
passivation,0.0
passivated,0.0
passion,0.0
passing,0.0
passes,0.0
passer,0.0
passenger,0.0
passage,0.0
parts,0.0
pass,0.0
paskesz,0.0
pasilla,0.0
pascalite,0.0
pas,0.0
parvovirus,0.0
party,0.0
parts_xd_,0.0
praeger,0.0
pramipexole,0.0
pralines,0.0
receiver,0.0
rebooted,0.0
reboot,0.0
reattached,0.0
reassignment,0.0
reassigned,0.0
reassembly,0.0
reassembled,0.0
reasons,0.0
reasonably,0.0
reasonable,0.0
reason,0.0
rear,0.0
reaming,0.0
reamers,0.0
reamer,0.0
ream,0.0
realtime,0.0
realizing,0.0
realize,0.0
rebooting,0.0
rebooting_xd_,0.0
reboots,0.0
recalled,0.0
receive,0.0
receipt,0.0
receding,0.0
recapture,0.0
recapper,0.0
recalls,0.0
recallinglight,0.0
recalling,0.0
recall_xd_,0.0
rebound,0.0
recall,0.0
recalibration,0.0
recalibrated,0.0
recalculation,0.0
recalculating,0.0
recalculated,0.0
rec,0.0
rebreather,0.0
realignment,0.0
realigned,0.0
real,0.0
reaction_xd_,0.0
reacts,0.0
reactors,0.0
reactor,0.0
reactivity,0.0
reactive,0.0
reactivation,0.0
reactivating,0.0
reactions,0.0
reaction,0.0
read_xd_,0.0
reacting,0.0
react,0.0
reacquistion,0.0
reacquisition,0.0
reacquire,0.0
reaching,0.0
reaches,0.0
reached,0.0
read,0.0
readability,0.0
reagin,0.0
readout,0.0
reagents,0.0
reagent,0.0
reagen,0.0
reag,0.0
readypacks,0.0
readyct,0.0
ready,0.0
reads,0.0
readmit,0.0
readable,0.0
readiplastin,0.0
readings,0.0
reading,0.0
readiness,0.0
readily,0.0
readers,0.0
reader,0.0
reade,0.0
received,0.0
receivers,0.0
recycle,0.0
receives,0.0
reconstructed,0.0
reconstruct,0.0
reconstitution,0.0
reconstitutes,0.0
reconstituted,0.0
reconstitute,0.0
reconnection,0.0
reconnecting,0.0
reconnected,0.0
reconnect,0.0
reconfiguration,0.0
reconciliation,0.0
recon,0.0
recomputed,0.0
recommends,0.0
recommending,0.0
recommended,0.0
recommendations,0.0
recommendation,0.0
reconstruction,0.0
reconstruction_xd_,0.0
reconstructions,0.0
recoveries,0.0
recurrence,0.0
recur,0.0
rectify,0.0
rectangles,0.0
rectal,0.0
recovery,0.0
recovers,0.0
recovering,0.0
recovered,0.0
reconstructive,0.0
recoverable,0.0
recover,0.0
records,0.0
recordings,0.0
recording,0.0
recorder,0.0
recorded,0.0
record,0.0
recommend,0.0
recombivax,0.0
recombiplastin,0.0
recharge,0.0
recipient,0.0
recipe,0.0
recieved,0.0
recharging,0.0
rechargers,0.0
recharger,0.0
recharged,0.0
rechargeable,0.0
recessed,0.0
reciprocating,0.0
recess,0.0
recertification,0.0
receptor,0.0
receptal,0.0
receptacle,0.0
recently,0.0
recent,0.0
receiving,0.0
recipients,0.0
reciprocation,0.0
recombinant,0.0
recoated,0.0
recombigen,0.0
recollection,0.0
recognizing,0.0
recognizes,0.0
recognized,0.0
recognize,0.0
recognizable,0.0
recognition,0.0
reco,0.0
recirculation,0.0
recliners,0.0
reclined,0.0
recline,0.0
reclassified,0.0
reclaim,0.0
reckitt,0.0
recist,0.0
recision,0.0
reach,0.0
re_x_suspending,0.0
re,0.0
rdw,0.0
raisin,0.0
raises,0.0
raiser,0.0
raised,0.0
raise,0.0
rainwater,0.0
raindrop,0.0
rainbow,0.0
rain,0.0
rails,0.0
rail,0.0
ragweed,0.0
radv,0.0
radsuite,0.0
radreport,0.0
radpro,0.0
radius,0.0
radiotherapy,0.0
radiosurgery,0.0
raising,0.0
raisins,0.0
rajhbog,0.0
ranch,0.0
randox,0.0
randomly,0.0
random,0.0
rand,0.0
rancidity,0.0
rancho,0.0
rancheros,0.0
rancher,0.0
ramune,0.0
raley,0.0
ramp,0.0
ramipril,0.0
ramen,0.0
ram,0.0
raltegravir,0.0
ralstonia,0.0
raloxifene,0.0
rallado,0.0
radiopharmaceutical,0.0
radioparent,0.0
radiopaque,0.0
ra_xd_,0.0
rader,0.0
radagast,0.0
rad,0.0
raclette,0.0
racks,0.0
rack,0.0
rabies,0.0
rabbit,0.0
ra,0.0
radialsource,0.0
r_xd_,0.0
qz,0.0
qx,0.0
qwix,0.0
qva,0.0
qv,0.0
qurette,0.0
quoted,0.0
